127.0.0.1 - - [18/Feb/2021:11:57:22 +0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:52 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:52 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:52 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:52 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:52 +0600] "GET /web_kdrl/module/module-memberReg/js/memberList-global.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:53 +0600] "POST /KDRL_services/restservice_post.html HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/memberUpdate.html HTTP/1.1" 200 21450
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/js/jquery-1.10.2.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/module/module-memberUpdate/css/memberUpdate-signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/module/module-memberUpdate/css/memberUpdate-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/module/module-memberUpdate/js/memberUpdate-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/module/module-memberUpdate/js/memberUpdate-update.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/module/module-memberUpdate/js/memberUpdate-global.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:17:58 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/salaryReport.html HTTP/1.1" 200 26557
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/js/jquery-1.10.2.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/module/module-salaryReport/js/salaryReport-signup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/module/module-salaryReport/js/salaryReport-global.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/module/module-salaryReport/js/salaryReport-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:01 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/salaryList.html HTTP/1.1" 200 17562
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/module/module-salaryReg/css/salaryList-main.css HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/js/jquery-1.10.2.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/module/module-salaryList/js/salaryList-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:12:18:09 +0600] "GET /web_kdrl/module/module-salaryList/js/salaryList-signup.js HTTP/1.1" 304 -
